"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"2017-04-01 00:00:00",1066,50,40,114,12,54,34,142,210,28,6,6,22,2,NA,22,8
"2017-04-01 00:30:00",1058,50,40,120,12,58,36,144,222,32,8,8,24,2,NA,28,10
"2017-04-01 01:00:00",1076,52,40,118,12.4,58,34,146,230,32,4,8,26,4,NA,26,10
"2017-04-01 01:30:00",1060,52,40,114,12.4,52,40,140,202,26,12,8,24,2,NA,22,8
"2017-04-01 02:00:00",1070,54,40,116,12,58,34,140,220,32,6,8,24,2,NA,30,10
"2017-04-01 02:30:00",1072,52,52,112,12,54,40,136,228,30,8,6,22,4,NA,24,8
"2017-04-01 03:00:00",1076,56,60,116,12,56,38,140,218,30,4,10,22,2,NA,28,10
"2017-04-01 03:30:00",1052,54,34,118,12.4,58,30,138,222,32,8,8,24,2,NA,22,8
"2017-04-01 04:00:00",1052,50,36,114,12,60,36,136,208,38,4,6,20,4,NA,22,10
"2017-04-01 04:30:00",1052,52,36,118,12,56,32,144,224,28,10,10,20,2,NA,30,8
"2017-04-01 05:00:00",1062,54,36,116,11.8,58,-1799970,136,204,32,6,8,24,2,NA,24,8
"2017-04-01 05:30:00",1048,50,36,120,11.8,52,36,140,212,30,8,6,22,2,NA,26,10
"2017-04-01 06:00:00",1138,48,42,120,11.8,58,40,154,204,28,8,10,22,2,NA,28,8
"2017-04-01 06:30:00",1200,50,64,116,12,56,48,178,220,30,12,8,20,2,NA,26,10
"2017-04-01 07:00:00",1232,52,80,118,12.4,66,44,188,226,36,12,10,22,2,NA,28,10
"2017-04-01 07:30:00",1418,50,72,132,12.8,76,48,186,238,52,12,8,22,90,NA,32,12
"2017-04-01 08:00:00",1606,54,100,172,14,86,56,210,278,62,22,12,22,106,NA,40,18
"2017-04-01 08:30:00",1960,60,110,214,14,102,80,226,314,86,40,10,26,118,NA,72,14
"2017-04-01 09:00:00",2198,120,140,256,14.8,116,102,272,352,92,52,8,28,104,NA,86,20
"2017-04-01 09:30:00",2362,176,166,262,15.4,112,118,306,348,96,52,12,30,118,NA,84,18
"2017-04-01 10:00:00",2392,178,168,272,15.4,122,134,312,348,104,58,8,30,96,NA,90,22
"2017-04-01 10:30:00",2458,180,154,274,16,124,128,342,346,108,66,10,26,102,NA,88,18
"2017-04-01 11:00:00",2466,182,172,280,16.2,140,118,328,340,126,56,12,28,108,NA,94,12
"2017-04-01 11:30:00",2442,140,194,278,16.2,138,132,334,344,118,52,12,30,116,NA,88,12
"2017-04-01 12:00:00",2314,166,158,224,16.8,150,126,330,306,136,54,10,30,102,NA,68,12
"2017-04-01 12:30:00",2320,142,154,210,17.6,148,126,324,290,138,86,12,30,114,NA,62,14
"2017-04-01 13:00:00",2262,120,152,218,18.6,148,120,304,272,142,74,10,28,124,NA,60,14
"2017-04-01 13:30:00",2252,130,148,210,19.2,146,118,310,292,138,78,12,24,134,NA,58,12
"2017-04-01 14:00:00",2144,140,128,210,20.6,150,108,276,312,136,74,10,22,126,NA,52,10
"2017-04-01 14:30:00",2122,144,166,192,20.8,148,108,250,306,136,68,14,24,98,NA,46,12
"2017-04-01 15:00:00",2008,154,148,200,20.6,148,106,222,292,138,76,14,28,28,NA,40,8
"2017-04-01 15:30:00",1918,148,132,190,21,152,92,230,272,144,70,12,26,26,NA,42,10
"2017-04-01 16:00:00",1804,76,128,184,21,150,92,232,278,136,50,12,30,42,NA,52,12
"2017-04-01 16:30:00",1700,70,120,174,20.6,130,92,210,264,122,48,10,24,32,NA,46,12
"2017-04-01 17:00:00",1626,68,132,166,20.6,104,80,208,268,90,52,12,28,34,NA,40,8
"2017-04-01 17:30:00",1574,66,88,156,19.8,94,78,208,276,84,46,10,26,38,NA,42,10
"2017-04-01 18:00:00",1588,68,84,162,19,90,84,202,256,82,40,8,28,32,NA,38,10
"2017-04-01 18:30:00",1568,72,82,160,19,94,68,202,268,84,42,10,28,26,NA,38,12
"2017-04-01 19:00:00",1536,70,66,170,18.8,86,60,198,262,98,34,10,28,22,NA,36,12
"2017-04-01 19:30:00",1474,68,60,156,18.6,82,56,192,232,108,36,8,26,22,NA,36,10
"2017-04-01 20:00:00",1382,70,56,136,18,74,48,196,234,92,28,10,26,10,NA,36,12
"2017-04-01 20:30:00",1340,68,68,140,18,74,40,188,218,94,18,6,24,4,NA,34,12
"2017-04-01 21:00:00",1232,62,72,126,18,70,36,178,228,56,18,10,22,4,NA,32,10
"2017-04-01 21:30:00",1166,64,46,126,18,68,36,164,224,48,18,6,24,4,NA,30,12
"2017-04-01 22:00:00",1108,54,42,120,18,58,40,156,214,34,14,8,20,4,NA,26,8
"2017-04-01 22:30:00",1070,52,40,118,18,58,36,144,208,32,8,8,22,4,NA,26,10
"2017-04-01 23:00:00",1056,54,42,116,17.2,56,32,142,204,30,0,6,20,2,NA,28,8
"2017-04-01 23:30:00",1054,52,40,112,17.6,58,34,132,208,30,4,12,20,4,NA,26,10
"2017-04-02 00:00:00",1012,56,38,40,4,16,36,178,218,6,NA,40,22,12,112,14,28
"2017-04-02 00:30:00",1028,58,52,42,4,18,32,178,236,8,NA,50,22,16,102,14,28
"2017-04-02 01:00:00",1034,58,66,40,4,22,34,180,220,6,NA,40,24,12,110,14,28
"2017-04-02 01:30:00",1034,56,46,42,6,16,36,178,240,8,NA,48,22,16,112,18,28
"2017-04-02 02:00:00",1014,60,38,42,6,18,32,188,218,6,NA,44,22,12,106,14,28
"2017-04-02 02:30:00",1018,54,38,40,6,20,36,174,218,10,NA,48,20,14,110,16,28
"2017-04-02 03:00:00",1024,56,40,44,4,16,28,178,234,6,NA,42,20,14,114,16,26
"2017-04-02 03:30:00",1034,54,40,40,4,22,32,178,242,8,NA,54,26,14,108,16,28
"2017-04-02 04:00:00",1022,54,38,40,4,18,36,182,246,6,NA,48,22,14,108,16,28
"2017-04-02 04:30:00",1010,52,38,38,4,18,30,182,238,8,NA,50,20,14,108,18,28
"2017-04-02 05:00:00",1038,56,46,44,6,20,32,178,240,8,NA,48,20,16,110,16,28
"2017-04-02 05:30:00",1054,54,68,40,4,20,34,184,220,6,NA,50,24,12,108,18,28
"2017-04-02 06:00:00",1046,54,50,46,4,20,32,184,230,8,NA,52,26,14,112,16,28
"2017-04-02 06:30:00",1002,56,46,42,6,18,26,174,242,8,NA,48,16,16,104,20,28
"2017-04-02 07:00:00",984,50,38,42,0,22,32,176,236,8,NA,52,18,14,106,16,28
"2017-04-02 07:30:00",964,54,44,42,0,18,24,178,228,4,NA,50,24,16,100,16,28
"2017-04-02 08:00:00",984,54,60,46,0,20,26,176,222,14,NA,54,18,14,102,16,28
"2017-04-02 08:30:00",988,62,68,46,0,16,28,174,224,26,NA,48,26,18,98,14,28
"2017-04-02 09:00:00",954,56,40,48,0,18,34,166,228,38,NA,56,16,16,98,16,30
